StrategicProgramID,StrategicGoalID,CategoryID,StrategicPillarID,Strategic Program,Q1 Objective,Q2 Objective,Q3 Objective,Q4 Objective,ORD LT Sponsor(s),Sponsor(s)/Lead(s),Reporting owner(s),Q1 Status,Q2 Status,Q3 Status,Q4 Status,Q1 Comments,Q2 Comments,Q3 Comments,Q4 Comments
SP116,SG106,Cat101,SPill100,TT-17 Integrate Initiative 17,In Q1 we will launch the TT-17 Integrate Initiative 17 project in support of the strategic goal to integrate ai for target selection. Key deliverables include drafting protocols, outlining resource requirements, and obtaining governance approval. Initial experiments or data pulls will begin by the end of the quarter to validate feasibility. Success for Q1 will be measured by completion of the scoped deliverables and endorsement from the Oncology R&D Leadership Team.,Achieve 50% of planned experiments for TT-17 Integrate Initiative 17.,Complete data analysis phase of TT-17 Integrate Initiative 17.,Submit year‑end review and next‑year plan for TT-17 Integrate Initiative 17.,Dr. Michael Rossi,Green,,,,Machine learning integration project for target identification and validation. Protocol development will focus on data integration and algorithmic validation approaches.,,,
SP117,SG106,Cat101,SPill100,TT-18 Integrate Initiative 18,In Q1 we will launch the TT-18 Integrate Initiative 18 project in support of the strategic goal to integrate ai for target selection. We will host a series of workshops to solidify scope, clarify success metrics, and map dependencies. We will set up a dashboard to track milestones and provide transparent real‑time updates. Our stretch goal is to initiate early pilot work so that data is available for Q2 decision gates.,Achieve 50% of planned experiments for TT-18 Integrate Initiative 18.,Complete data analysis phase of TT-18 Integrate Initiative 18.,Submit year‑end review and next‑year plan for TT-18 Integrate Initiative 18.,Dr. Michael Rossi,Green,,,,Strategic AI implementation program requiring scope clarification through structured workshops. Technology platform selection and validation criteria will guide implementation strategy.,,,
SP118,SG107,Cat102,SPill100,CDX-19 Co‑develop Initiative 19,In Q1 we will launch the CDX-19 Co‑develop Initiative 19 project in support of the strategic goal to co‑develop cdx assays with therapy programs. The kick‑off will culminate in a signed execution plan and a communication roll‑out to all contributors. Vendor assessments will be completed to decide on any external partnerships needed. Quarter‑end exit criteria include a locked protocol, budget sign‑off, and an agreed set of KPIs.,Achieve 50% of planned experiments for CDX-19 Co‑develop Initiative 19.,Complete data analysis phase of CDX-19 Co‑develop Initiative 19.,Submit year‑end review and next‑year plan for CDX-19 Co‑develop Initiative 19.,Dr. Priya Desai,Green,,,,Companion diagnostic co-development program with comprehensive execution planning and vendor partnerships. Protocol finalization and regulatory alignment will be critical for successful therapy-diagnostic integration.,,,
SP119,SG107,Cat102,SPill100,CDX-20 Co‑develop Initiative 20,In Q1 we will launch the CDX-20 Co‑develop Initiative 20 project in support of the strategic goal to co‑develop cdx assays with therapy programs. This involves assembling the core team, finalizing the detailed project charter, and securing cross‑functional commitment. Initial experiments or data pulls will begin by the end of the quarter to validate feasibility.,Achieve 50% of planned experiments for CDX-20 Co‑develop Initiative 20.,Complete data analysis phase of CDX-20 Co‑develop Initiative 20.,Submit year‑end review and next‑year plan for CDX-20 Co‑develop Initiative 20.,Dr. Priya Desai,Green,,,,CDx assay development initiative requiring core team establishment and technical platform selection. Regulatory strategy and clinical trial integration will be key planning elements.,,,
SP120,SG107,Cat102,SPill100,CDX-21 Co‑develop Initiative 21,In Q1 we will launch the CDX-21 Co‑develop Initiative 21 project in support of the strategic goal to co‑develop cdx assays with therapy programs. Key deliverables include drafting protocols, outlining resource requirements, and obtaining governance approval. Vendor assessments will be completed to decide on any external partnerships needed.,Achieve 50% of planned experiments for CDX-21 Co‑develop Initiative 21.,Complete data analysis phase of CDX-21 Co‑develop Initiative 21.,Submit year‑end review and next‑year plan for CDX-21 Co‑develop Initiative 21.,Dr. Priya Desai,Green,,,,Companion diagnostic protocol development focusing on assay standardization and validation criteria. Clinical utility demonstration will be essential for regulatory approval pathway.,,,
SP121,SG108,Cat102,SPill100,CDX-22 Obtain Initiative 22,In Q1 we will launch the CDX-22 Obtain Initiative 22 project in support of the strategic goal to obtain fda clearance for ngs panel. We will host a series of workshops to solidify scope, clarify success metrics, and map dependencies. Risks and mitigation strategies will be documented early to ensure the program remains on track.,Achieve 50% of planned experiments for CDX-22 Obtain Initiative 22.,Complete data analysis phase of CDX-22 Obtain Initiative 22.,Submit year‑end review and next‑year plan for CDX-22 Obtain Initiative 22.,Dr. Priya Desai,Amber,,,,FDA clearance initiative for NGS panel requiring workshop-driven scope definition. Regulatory strategy development and clinical validation planning will be critical success factors.,,,
SP122,SG108,Cat102,SPill100,CDX-23 Obtain Initiative 23,In Q1 we will launch the CDX-23 Obtain Initiative 23 project in support of the strategic goal to obtain fda clearance for ngs panel. Key deliverables include drafting protocols, outlining resource requirements, and obtaining governance approval. An early engagement with clinical teams will ensure downstream study readiness.,Achieve 50% of planned experiments for CDX-23 Obtain Initiative 23.,Complete data analysis phase of CDX-23 Obtain Initiative 23.,Submit year‑end review and next‑year plan for CDX-23 Obtain Initiative 23.,Dr. Priya Desai,Amber,,,,NGS panel regulatory approval program focusing on protocol development and validation studies. FDA interaction strategy and clinical evidence generation will guide implementation approach.,,,
SP123,SG108,Cat102,SPill100,CDX-24 Obtain Initiative 24,In Q1 we will launch the CDX-24 Obtain Initiative 24 project in support of the strategic goal to obtain fda clearance for ngs panel. Our immediate focus will be to refine the scientific plan, align timelines with stakeholders, and allocate budget. Risks and mitigation strategies will be documented early to ensure the program remains on track. Success for Q1 will be measured by completion of the scoped deliverables and endorsement from the Oncology R&D Leadership Team.,Achieve 50% of planned experiments for CDX-24 Obtain Initiative 24.,Complete data analysis phase of CDX-24 Obtain Initiative 24.,Submit year‑end review and next‑year plan for CDX-24 Obtain Initiative 24.,Dr. Priya Desai,Green,,,,Comprehensive NGS clearance initiative requiring scientific plan refinement and regulatory pathway optimization. Clinical validation studies and manufacturing considerations will be key deliverables.,,,
SP124,SG109,Cat103,SPill101,ECD-25 Reduce Initiative 25,In Q1 we will launch the ECD-25 Reduce Initiative 25 project in support of the strategic goal to reduce ind cycle time by 20%. This involves assembling the core team, finalizing the detailed project charter, and securing cross‑functional commitment. Initial experiments or data pulls will begin by the end of the quarter to validate feasibility. Completion of training for all contributors is also targeted within this timeframe.,Achieve 50% of planned experiments for ECD-25 Reduce Initiative 25.,Complete data analysis phase of ECD-25 Reduce Initiative 25.,Submit year‑end review and next‑year plan for ECD-25 Reduce Initiative 25.,Dr. James Carter,Green,,,,IND cycle time reduction initiative requiring core team formation and process optimization analysis. Regulatory efficiency improvements and cross-functional coordination will be key success metrics.,,,
SP125,SG109,Cat103,SPill101,ECD-26 Reduce Initiative 26,In Q1 we will launch the ECD-26 Reduce Initiative 26 project in support of the strategic goal to reduce ind cycle time by 20%. We will host a series of workshops to solidify scope, clarify success metrics, and map dependencies. Vendor assessments will be completed to decide on any external partnerships needed. Quarter‑end exit criteria include a locked protocol, budget sign‑off, and an agreed set of KPIs.,Achieve 50% of planned experiments for ECD-26 Reduce Initiative 26.,Complete data analysis phase of ECD-26 Reduce Initiative 26.,Green,,,,Process improvement program focusing on IND timeline optimization through workshop-based problem solving. Bottleneck identification and resource allocation will guide implementation strategy.,,,
SP126,SG109,Cat103,SPill101,ECD-27 Reduce Initiative 27,In Q1 we will launch the ECD-27 Reduce Initiative 27 project in support of the strategic goal to reduce ind cycle time by 20%. Our immediate focus will be to refine the scientific plan, align timelines with stakeholders, and allocate budget. Initial experiments or data pulls will begin by the end of the quarter to validate feasibility.,Achieve 50% of planned experiments for ECD-27 Reduce Initiative 27.,Complete data analysis phase of ECD-27 Reduce Initiative 27.,Submit year‑end review and next‑year plan for ECD-27 Reduce Initiative 27.,Dr. James Carter,Green,,,,Strategic IND acceleration initiative requiring scientific plan refinement and process standardization. Regulatory pathway optimization and timeline compression will be primary objectives.,,,
SP127,SG109,Cat103,SPill101,ECD-28 Reduce Initiative 28,In Q1 we will launch the ECD-28 Reduce Initiative 28 project in support of the strategic goal to reduce ind cycle time by 20%. Key deliverables include drafting protocols, outlining resource requirements, and obtaining governance approval. An early engagement with clinical teams will ensure downstream study readiness. Success for Q1 will be measured by completion of the scoped deliverables and endorsement from the Oncology R&D Leadership Team.,Achieve 50% of planned experiments for ECD-28 Reduce Initiative 28.,Complete data analysis phase of ECD-28 Reduce Initiative 28.,Submit year‑end review and next‑year plan for ECD-28 Reduce Initiative 28.,Dr. James Carter,Red,,,,IND efficiency program focusing on protocol development and regulatory submission optimization. Process standardization and quality assurance will be critical for timeline reduction goals.,,,
SP128,SG110,Cat103,SPill101,ECD-29 Implement Initiative 29,In Q1 we will launch the ECD-29 Implement Initiative 29 project in support of the strategic goal to implement adaptive trial designs. Our immediate focus will be to refine the scientific plan, align timelines with stakeholders, and allocate budget. Initial experiments or data pulls will begin by the end of the quarter to validate feasibility.,Achieve 50% of planned experiments for ECD-29 Implement Initiative 29.,Complete data analysis phase of ECD-29 Implement Initiative 29.,Submit year‑end review and next‑year plan for ECD-29 Implement Initiative 29.,Dr. James Carter,Green,,,,Adaptive trial design implementation requiring scientific plan development and statistical methodology refinement. Regulatory acceptance and operational feasibility will be key implementation challenges.,,,
SP129,SG110,Cat103,SPill101,ECD-30 Implement Initiative 30,In Q1 we will launch the ECD-30 Implement Initiative 30 project in support of the strategic goal to implement adaptive trial designs. This involves assembling the core team, finalizing the detailed project charter, and securing cross‑functional commitment. An early engagement with clinical teams will ensure downstream study readiness.,Achieve 50% of planned experiments for ECD-30 Implement Initiative 30.,Complete data analysis phase of ECD-30 Implement Initiative 30.,Submit year‑end review and next‑year plan for ECD-30 Implement Initiative 30.,Dr. James Carter,Green,,,,Advanced trial design initiative requiring specialized statistical expertise and core team assembly. Protocol flexibility and regulatory alignment will be essential for successful implementation.,,,
SP130,SG110,Cat103,SPill101,ECD-31 Implement Initiative 31,In Q1 we will launch the ECD-31 Implement Initiative 31 project in support of the strategic goal to implement adaptive trial designs. Key deliverables include drafting protocols, outlining resource requirements, and obtaining governance approval. Risks and mitigation strategies will be documented early to ensure the program remains on track. Quarter‑end exit criteria include a locked protocol, budget sign‑off, and an agreed set of KPIs.,Achieve 50% of planned experiments for ECD-31 Implement Initiative 31.,Complete data analysis phase of ECD-31 Implement Initiative 31.,Green,,,,Comprehensive adaptive design program focusing on protocol standardization and regulatory strategy. Statistical innovation and operational execution will be critical success factors.,,,
SP131,SG111,Cat103,SPill101,ECD-32 Expand Initiative 32,In Q1 we will launch the ECD-32 Expand Initiative 32 project in support of the strategic goal to expand first‑in‑human trial network. Our immediate focus will be to refine the scientific plan, align timelines with stakeholders, and allocate budget. An early engagement with clinical teams will ensure downstream study readiness. Completion of training for all contributors is also targeted within this timeframe.,Achieve 50% of planned experiments for ECD-32 Expand Initiative 32.,Complete data analysis phase of ECD-32 Expand Initiative 32.,Submit year‑end review and next‑year plan for ECD-32 Expand Initiative 32.,Dr. James Carter,Green,,,,Trial network expansion initiative requiring scientific plan optimization and site identification strategies. Geographic coverage and investigator engagement will be key expansion metrics.,,,
SP132,SG111,Cat103,SPill101,ECD-33 Expand Initiative 33,In Q1 we will launch the ECD-33 Expand Initiative 33 project in support of the strategic goal to expand first‑in‑human trial network. Key deliverables include drafting protocols, outlining resource requirements, and obtaining governance approval. An early engagement with clinical teams will ensure downstream study readiness. Completion of training for all contributors is also targeted within this timeframe.,Achieve 50% of planned experiments for ECD-33 Expand Initiative 33.,Complete data analysis phase of ECD-33 Expand Initiative 33.,Submit year‑end review and next‑year plan for ECD-33 Expand Initiative 33.,Dr. James Carter,Green,,,,First-in-human network development focusing on protocol standardization and site qualification criteria. Investigator training and regulatory alignment will be essential for network success.,,,
SP133,SG111,Cat103,SPill101,ECD-34 Expand Initiative 34,In Q1 we will launch the ECD-34 Expand Initiative 34 project in support of the strategic goal to expand first‑in‑human trial network. We will host a series of workshops to solidify scope, clarify success metrics, and map dependencies. Initial experiments or data pulls will begin by the end of the quarter to validate feasibility. Quarter‑end exit criteria include a locked protocol, budget sign‑off, and an agreed set of KPIs.,Achieve 50% of planned experiments for ECD-34 Expand Initiative 34.,Complete data analysis phase of ECD-34 Expand Initiative 34.,Green,,,,Comprehensive trial network expansion requiring workshop-driven scope definition and implementation planning. Site selection criteria and operational excellence will guide network development.,,,
SP134,SG112,Cat104,SPill101,RA-35 Harmonize Initiative 35,In Q1 we will launch the RA-35 Harmonize Initiative 35 project in support of the strategic goal to harmonize global filings. The kick‑off will culminate in a signed execution plan and a communication roll‑out to all contributors. We will set up a dashboard to track milestones and provide transparent real‑time updates. Success for Q1 will be measured by completion of the scoped deliverables and endorsement from the Oncology R&D Leadership Team.,Achieve 50% of planned experiments for RA-35 Harmonize Initiative 35.,Complete data analysis phase of RA-35 Harmonize Initiative 35.,Submit year‑end review and next‑year plan for RA-35 Harmonize Initiative 35.,Dr. Sophia Hernandez,Isabella Anderson,Olivia Lopez,Green,,,,Global regulatory harmonization program with comprehensive execution planning and milestone tracking dashboard. Leadership endorsement and cross-regional coordination will be critical for achieving harmonization objectives.,,,
SP135,SG112,Cat104,SPill101,RA-36 Harmonize Initiative 36,In Q1 we will launch the RA-36 Harmonize Initiative 36 project in support of the strategic goal to harmonize global filings. We will host a series of workshops to solidify scope, clarify success metrics, and map dependencies. Vendor assessments will be completed to decide on any external partnerships needed.,Achieve 50% of planned experiments for RA-36 Harmonize Initiative 36.,Complete data analysis phase of RA-36 Harmonize Initiative 36.,Submit year‑end review and next‑year plan for RA-36 Harmonize Initiative 36.,Dr. Sophia Hernandez,Green,,,,Regulatory filing harmonization initiative requiring workshop-based scope definition and process standardization. Cross-regional alignment and submission efficiency will be key success metrics.,,,
SP136,SG112,Cat104,SPill101,RA-37 Harmonize Initiative 37,In Q1 we will launch the RA-37 Harmonize Initiative 37 project in support of the strategic goal to harmonize global filings. Key deliverables include drafting protocols, outlining resource requirements, and obtaining governance approval. An early engagement with clinical teams will ensure downstream study readiness.,Achieve 50% of planned experiments for RA-37 Harmonize Initiative 37.,Complete data analysis phase of RA-37 Harmonize Initiative 37.,Submit year‑end review and next‑year plan for RA-37 Harmonize Initiative 37.,Dr. Sophia Hernandez,Green,,,,Global filing coordination program focusing on protocol development and regulatory strategy alignment. Process optimization and cross-functional collaboration will guide implementation approach.,,,
SP137,SG113,Cat104,SPill101,RA-38 Strengthen Initiative 38,In Q1 we will launch the RA-38 Strengthen Initiative 38 project in support of the strategic goal to strengthen agency engagement strategy. Our immediate focus will be to refine the scientific plan, align timelines with stakeholders, and allocate budget. Vendor assessments will be completed to decide on any external partnerships needed.,Achieve 50% of planned experiments for RA-38 Strengthen Initiative 38.,Complete data analysis phase of RA-38 Strengthen Initiative 38.,Submit year‑end review and next‑year plan for RA-38 Strengthen Initiative 38.,Dr. Sophia Hernandez,Green,,,,Agency engagement strategy enhancement requiring scientific plan refinement and stakeholder mapping. Regulatory relationship building and strategic communication will be key success factors.,,,
SP138,SG113,Cat104,SPill101,RA-39 Strengthen Initiative 39,In Q1 we will launch the RA-39 Strengthen Initiative 39 project in support of the strategic goal to strengthen agency engagement strategy. Key deliverables include drafting protocols, outlining resource requirements, and obtaining governance approval. Vendor assessments will be completed to decide on any external partnerships needed. Completion of training for all contributors is also targeted within this timeframe.,Achieve 50% of planned experiments for RA-39 Strengthen Initiative 39.,Complete data analysis phase of RA-39 Strengthen Initiative 39.,Submit year‑end review and next‑year plan for RA-39 Strengthen Initiative 39.,Dr. Sophia Hernandez,Green,,,,Strategic regulatory engagement program focusing on protocol development and agency interaction planning. Communication strategy and regulatory intelligence will guide implementation approach.,,,
SP139,SG113,Cat104,SPill101,RA-40 Strengthen Initiative 40,In Q1 we will launch the RA-40 Strengthen Initiative 40 project in support of the strategic goal to strengthen agency engagement strategy. Our immediate focus will be to refine the scientific plan, align timelines with stakeholders, and allocate budget. Vendor assessments will be completed to decide on any external partnerships needed.,Achieve 50% of planned experiments for RA-40 Strengthen Initiative 40.,Complete data analysis phase of RA-40 Strengthen Initiative 40.,Submit year‑end review and next‑year plan for RA-40 Strengthen Initiative 40.,Dr. Sophia Hernandez,Red,,,,Comprehensive agency engagement initiative requiring scientific plan optimization and stakeholder relationship development. Strategic positioning and regulatory advocacy will be primary objectives.,,,
SP140,SG113,Cat104,SPill101,RA-41 Strengthen Initiative 41,In Q1 we will launch the RA-41 Strengthen Initiative 41 project in support of the strategic goal to strengthen agency engagement strategy. This involves assembling the core team, finalizing the detailed project charter, and securing cross‑functional commitment. Vendor assessments will be completed to decide on any external partnerships needed. Our stretch goal is to initiate early pilot work so that data is available for Q2 decision gates.,Achieve 50% of planned experiments for RA-41 Strengthen Initiative 41.,Complete data analysis phase of RA-41 Strengthen Initiative 41.,Submit year‑end review and next‑year plan for RA-41 Strengthen Initiative 41.,Dr. Sophia Hernandez,Green,,,,Agency engagement enhancement program requiring core team formation and relationship management strategy. Regulatory intelligence and strategic communication will be essential for program success.,,,
SP141,SG114,Cat104,SPill101,RA-42 Enhance Initiative 42,In Q1 we will launch the RA-42 Enhance Initiative 42 project in support of the strategic goal to enhance cmc readiness. This involves assembling the core team, finalizing the detailed project charter, and securing cross‑functional commitment. An early engagement with clinical teams will ensure downstream study readiness. Quarter‑end exit criteria include a locked protocol, budget sign‑off, and an agreed set of KPIs.,Achieve 50% of planned experiments for RA-42 Enhance Initiative 42.,Complete data analysis phase of RA-42 Enhance Initiative 42.,Amber,,,,CMC readiness enhancement initiative requiring specialized manufacturing expertise and core team assembly. Process optimization and regulatory compliance will be key development priorities.,,,
